id,name,product_type,description,monthly_sales
4030,ATX Power Supply 600W Wireless,Electronics,600W certified power supply. Wireless model – batch 27.,453
4031,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 28.,389
4032,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 29.,483
4033,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 30.,492
4034,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 31.,106
4035,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 32.,172
4036,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 33.,72
4037,University Notebook Advanced,Stationery,Notebook with 200 pages. Advanced model – batch 34.,159
4038,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 35.,122
4039,Django Book Premium,Book,Web development with Django. Premium model – batch 36.,194
4040,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 37.,425
4041,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 38.,124
4042,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 39.,148
4043,Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 40.,28
4044,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 41.,21
4045,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 42.,454
4046,Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 43.,96
4047,24 Inch Monitor Pro,Electronics,Full HD monitor for work and gaming. Pro model – batch 44.,427
4048,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 45.,131
4049,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 46.,285
4050,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 47.,374
4051,Full HD Webcam Pro,Electronics,1080p webcam for video conferencing. Pro model – batch 48.,375
4052,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 49.,9
4053,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 50.,285
4054,Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 51.,181
4055,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 52.,282
4056,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 53.,253
4057,Mechanical Keyboard Standard,Electronics,Mechanical keyboard with blue switches. Standard model – batch 54.,364
4058,Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 55.,188
4059,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 56.,75
4060,ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 57.,23
4061,24 Inch Monitor Plus,Electronics,Full HD monitor for work and gaming. Plus model – batch 58.,43
4062,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 59.,410
4063,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 60.,448
4064,Clean Code Book Compact,Book,Best practices for clean and maintainable code. Compact model – batch 61.,369
4065,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 62.,416
4066,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 63.,288
4067,Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 64.,80
4068,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 65.,204
4069,ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 66.,418
4070,Django Book Plus,Book,Web development with Django. Plus model – batch 67.,254
4071,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 68.,371
4072,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 69.,220
4073,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 70.,107
4074,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 71.,391
4075,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 72.,285
4076,External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 73.,231
4077,Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 74.,397
4078,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 75.,217
4079,Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 76.,417
4080,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 77.,492
4081,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 78.,247
4082,Django Book Wireless,Book,Web development with Django. Wireless model – batch 79.,58
4083,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 80.,354
4084,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 81.,406
4085,Django Book Wireless,Book,Web development with Django. Wireless model – batch 82.,5
4086,Django Book Advanced,Book,Web development with Django. Advanced model – batch 83.,440
4087,Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 84.,264
4088,Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 85.,77
4089,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 86.,480
4090,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 87.,246
4091,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 88.,477
4092,Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 89.,222
4093,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 90.,15
4094,Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 91.,362
4095,Gaming Mousepad Advanced,Accessories,Large mousepad with non-slip base. Advanced model – batch 92.,380
4096,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 93.,122
4097,Gaming Mousepad Advanced,Accessories,Large mousepad with non-slip base. Advanced model – batch 94.,480
4098,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 95.,452
4099,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 96.,264
4100,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 97.,456
4101,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 98.,426
4102,Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 99.,229
4103,Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 100.,377
4104,External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 101.,144
4105,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 102.,372
4106,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 103.,384
4107,Laptop Stand Wireless,Accessories,Adjustable ergonomic laptop stand. Wireless model – batch 104.,380
4108,Python Book Wireless,Book,Learn Python from beginner to advanced. Wireless model – batch 105.,267
4109,Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 106.,142
4110,Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 107.,178
4111,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 108.,339
4112,ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 109.,344
4113,Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 110.,82
4114,Django Book Advanced,Book,Web development with Django. Advanced model – batch 111.,217
4115,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 112.,20
4116,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 113.,112
4117,Gaming Mousepad Pro,Accessories,Large mousepad with non-slip base. Pro model – batch 114.,69
4118,Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 115.,229
4119,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 116.,213
4120,External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 117.,231
4121,Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 118.,489
4122,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 119.,331
4123,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 120.,253
4124,Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 121.,87
4125,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 122.,370
4126,Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 123.,370
4127,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 124.,336
4128,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 125.,403
4129,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 126.,133
4130,Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 127.,175
4131,Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 128.,487
4132,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 129.,258
4133,University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 130.,350
4134,Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 131.,467
4135,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 132.,371
4136,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 133.,80
4137,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 134.,253
4138,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 135.,390
4139,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 136.,330
4140,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 137.,329
4141,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 138.,226
4142,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 139.,465
4143,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 140.,169
4144,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 141.,71
4145,Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 142.,28
4146,Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 143.,60
4147,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 144.,68
4148,Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 145.,466
4149,Bluetooth Headphones Premium,Electronics,Wireless headphones with noise cancellation. Premium model – batch 146.,364
4150,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 147.,118
4151,Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 148.,243
4152,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 149.,45
4153,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 150.,224
4154,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 151.,258
4155,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 152.,347
4156,HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 153.,201
4157,HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 154.,163
4158,Django Book Wireless,Book,Web development with Django. Wireless model – batch 155.,123
4159,HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 156.,65
4160,Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 157.,264
4161,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 158.,430
4162,ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 159.,155
4163,ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 160.,257
4164,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 161.,153
4165,ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 162.,306
4166,Laptop Stand USB-C,Accessories,Adjustable ergonomic laptop stand. USB-C model – batch 163.,118
4167,USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 164.,355
4168,Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 165.,472
4169,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 166.,403
4170,Algorithms Book Plus,Book,Introduction to algorithms and programming logic. Plus model – batch 167.,250
4171,Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 168.,65
4172,USB Mouse Premium,Electronics,Wired USB mouse with high precision. Premium model – batch 169.,269
4173,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 170.,251
4174,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 171.,337
4175,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 172.,7
4176,Django Book Compact,Book,Web development with Django. Compact model – batch 173.,13
4177,Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 174.,95
4178,Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 175.,354
4179,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 176.,98
4180,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 177.,137
4181,ATX Power Supply 600W Wireless,Electronics,600W certified power supply. Wireless model – batch 178.,50
4182,Algorithms Book Wireless,Book,Introduction to algorithms and programming logic. Wireless model – batch 179.,226
4183,University Notebook USB-C,Stationery,Notebook with 200 pages. USB-C model – batch 180.,42
4184,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 181.,349
4185,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 182.,222
4186,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 183.,411
4187,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 184.,447
4188,Bluetooth Headphones Standard,Electronics,Wireless headphones with noise cancellation. Standard model – batch 185.,26
4189,Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 186.,7
4190,Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 187.,476
4191,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 188.,467
4192,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 189.,255
4193,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 190.,431
4194,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 191.,136
4195,Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 192.,194
4196,External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 193.,108
4197,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 194.,266
4198,Laptop i5 Wireless,Electronics,Laptop with Intel i5 processor and SSD. Wireless model – batch 195.,314
4199,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 196.,322
4200,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 197.,71
4201,Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 198.,124
4202,Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 199.,317
4203,External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 200.,480
4204,Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 201.,262
4205,Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 202.,420
4206,24 Inch Monitor Advanced,Electronics,Full HD monitor for work and gaming. Advanced model – batch 203.,122
4207,Django Book Pro,Book,Web development with Django. Pro model – batch 204.,167
4208,Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 205.,158
4209,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 206.,443
4210,Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 207.,117
4211,Django Book Premium,Book,Web development with Django. Premium model – batch 208.,149
4212,External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 209.,294
4213,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 210.,401
4214,Gaming Mousepad Compact,Accessories,Large mousepad with non-slip base. Compact model – batch 211.,222
4215,ATX Power Supply 600W Pro,Electronics,600W certified power supply. Pro model – batch 212.,247
4216,Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 213.,19
4217,Django Book Standard,Book,Web development with Django. Standard model – batch 214.,23
4218,Django Book Premium,Book,Web development with Django. Premium model – batch 215.,328
4219,Laptop Backpack USB-C,Accessories,Durable backpack for up to 15-inch laptops. USB-C model – batch 216.,302
4220,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 217.,416
4221,Full HD Webcam Premium,Electronics,1080p webcam for video conferencing. Premium model – batch 218.,227
4222,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 219.,273
4223,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 220.,307
4224,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 221.,409
4225,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 222.,421
4226,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 223.,481
4227,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 224.,472
4228,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 225.,202
4229,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 226.,181
4230,USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 227.,51
4231,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 228.,443
4232,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 229.,164
4233,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 230.,376
4234,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 231.,253
4235,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 232.,31
4236,Multifunction Printer Plus,Electronics,Printer with scanner and copier. Plus model – batch 233.,188
4237,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 234.,492
4238,External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 235.,42
4239,Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 236.,450
4240,Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 237.,289
4241,24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 238.,98
4242,External Hard Drive 1TB Advanced,Electronics,Portable 1TB external storage. Advanced model – batch 239.,35
4243,Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 240.,103
4244,Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 241.,477
4245,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 242.,439
4246,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 243.,330
4247,Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 244.,321
4248,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 245.,116
4249,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 246.,78
4250,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 247.,396
4251,Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 248.,398
4252,Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 249.,491
4253,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 250.,308
4254,Django Book Premium,Book,Web development with Django. Premium model – batch 251.,294
4255,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 252.,404
4256,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 253.,257
4257,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 254.,70
4258,ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 255.,292
4259,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 256.,380
4260,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 257.,132
4261,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 258.,191
4262,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 259.,365
4263,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 260.,459
4264,Django Book Advanced,Book,Web development with Django. Advanced model – batch 261.,152
4265,University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 262.,413
4266,Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 263.,444
4267,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 264.,329
4268,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 265.,118
4269,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 266.,118
4270,HDMI Cable Advanced,Accessories,High-speed HDMI 2.0 cable. Advanced model – batch 267.,59
4271,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 268.,202
4272,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 269.,70
4273,Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 270.,217
4274,Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 271.,319
4275,University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 272.,24
4276,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 273.,384
4277,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 274.,488
4278,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 275.,215
4279,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 276.,484
4280,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 277.,93
4281,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 278.,186
4282,Multifunction Printer USB-C,Electronics,Printer with scanner and copier. USB-C model – batch 279.,38
4283,External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 280.,351
4284,Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 281.,274
4285,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 282.,310
4286,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 283.,358
4287,HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 284.,75
4288,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 285.,7
4289,Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 286.,221
4290,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 287.,430
4291,University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 288.,31
4292,Django Book Standard,Book,Web development with Django. Standard model – batch 289.,480
4293,Django Book Compact,Book,Web development with Django. Compact model – batch 290.,129
4294,Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 291.,163
4295,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 292.,187
4296,Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 293.,275
4297,Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 294.,500
4298,Gaming Mousepad Pro,Accessories,Large mousepad with non-slip base. Pro model – batch 295.,323
4299,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 296.,438
4300,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 297.,7
4301,Django Book Advanced,Book,Web development with Django. Advanced model – batch 298.,38
4302,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 299.,209
4303,Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 300.,279
4304,External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 301.,393
4305,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 302.,384
4306,Django Book Compact,Book,Web development with Django. Compact model – batch 303.,166
4307,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 304.,227
4308,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 305.,131
4309,ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 306.,220
4310,USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 307.,265
4311,Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 308.,497
4312,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 309.,360
4313,Django Book Compact,Book,Web development with Django. Compact model – batch 310.,322
4314,External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 311.,439
4315,Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 312.,391
4316,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 313.,497
4317,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 314.,417
4318,Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 315.,421
4319,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 316.,324
4320,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 317.,180
4321,USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 318.,302
4322,USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 319.,408
4323,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 320.,149
4324,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 321.,221
4325,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 322.,188
4326,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 323.,257
4327,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 324.,434
4328,Algorithms Book Wireless,Book,Introduction to algorithms and programming logic. Wireless model – batch 325.,448
4329,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 326.,428
4330,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 327.,416
