name,product_type,description,monthly_sales
Django Book USB-C,Book,Web development with Django. USB-C model – batch 641.,488
HDMI Cable Advanced,Accessories,High-speed HDMI 2.0 cable. Advanced model – batch 642.,223
Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 643.,363
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 644.,428
Django Book Compact,Book,Web development with Django. Compact model – batch 645.,464
HDMI Cable Premium,Accessories,High-speed HDMI 2.0 cable. Premium model – batch 646.,368
USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 647.,495
Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 648.,234
University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 649.,74
Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 650.,118
Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 651.,69
Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 652.,246
Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 653.,116
Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 654.,167
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 655.,177
External Hard Drive 1TB Advanced,Electronics,Portable 1TB external storage. Advanced model – batch 656.,101
External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 657.,497
Bluetooth Headphones Advanced,Electronics,Wireless headphones with noise cancellation. Advanced model – batch 658.,434
Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 659.,58
ATX Power Supply 600W Wireless,Electronics,600W certified power supply. Wireless model – batch 660.,444
HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 661.,349
Algorithms Book Plus,Book,Introduction to algorithms and programming logic. Plus model – batch 662.,261
Laptop Backpack USB-C,Accessories,Durable backpack for up to 15-inch laptops. USB-C model – batch 663.,381
University Notebook Advanced,Stationery,Notebook with 200 pages. Advanced model – batch 664.,408
Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 665.,109
Gaming Mousepad Advanced,Accessories,Large mousepad with non-slip base. Advanced model – batch 666.,11
Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 667.,195
HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 668.,80
Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 669.,33
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 670.,249
USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 671.,367
Full HD Webcam Premium,Electronics,1080p webcam for video conferencing. Premium model – batch 672.,209
USB Flash Drive 64GB Wireless,Electronics,USB 3.0 flash drive with 64GB capacity. Wireless model – batch 673.,433
24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 674.,197
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 675.,402
Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 676.,421
Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 677.,256
Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 678.,357
Full HD Webcam Compact,Electronics,1080p webcam for video conferencing. Compact model – batch 679.,320
Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 680.,141
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 681.,383
Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 682.,20
Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 683.,207
Multifunction Printer Compact,Electronics,Printer with scanner and copier. Compact model – batch 684.,27
University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 685.,207
24 Inch Monitor Wireless,Electronics,Full HD monitor for work and gaming. Wireless model – batch 686.,175
Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 687.,263
Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 688.,5
Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 689.,106
Django Book Premium,Book,Web development with Django. Premium model – batch 690.,72
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 691.,90
Django Book Advanced,Book,Web development with Django. Advanced model – batch 692.,112
Full HD Webcam Compact,Electronics,1080p webcam for video conferencing. Compact model – batch 693.,487
Python Book Standard,Book,Learn Python from beginner to advanced. Standard model – batch 694.,464
Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 695.,376
University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 696.,436
Clean Code Book Compact,Book,Best practices for clean and maintainable code. Compact model – batch 697.,285
Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 698.,484
Laptop Backpack Pro,Accessories,Durable backpack for up to 15-inch laptops. Pro model – batch 699.,100
Django Book Wireless,Book,Web development with Django. Wireless model – batch 700.,88
Bluetooth Headphones Premium,Electronics,Wireless headphones with noise cancellation. Premium model – batch 701.,219
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 702.,56
External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 703.,308
Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 704.,413
Full HD Webcam Premium,Electronics,1080p webcam for video conferencing. Premium model – batch 705.,339
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 706.,52
Django Book Standard,Book,Web development with Django. Standard model – batch 707.,35
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 708.,255
Algorithms Book Compact,Book,Introduction to algorithms and programming logic. Compact model – batch 709.,210
HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 710.,349
USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 711.,22
External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 712.,345
ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 713.,496
Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 714.,64
Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 715.,178
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 716.,176
Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 717.,18
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 718.,158
Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 719.,373
Django Book Wireless,Book,Web development with Django. Wireless model – batch 720.,8
Django Book Pro,Book,Web development with Django. Pro model – batch 721.,480
USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 722.,437
Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 723.,361
Laptop i5 Wireless,Electronics,Laptop with Intel i5 processor and SSD. Wireless model – batch 724.,175
Django Book Pro,Book,Web development with Django. Pro model – batch 725.,354
USB Flash Drive 64GB Standard,Electronics,USB 3.0 flash drive with 64GB capacity. Standard model – batch 726.,91
Clean Code Book Compact,Book,Best practices for clean and maintainable code. Compact model – batch 727.,387
ATX Power Supply 600W Wireless,Electronics,600W certified power supply. Wireless model – batch 728.,232
ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 729.,383
USB Flash Drive 64GB USB-C,Electronics,USB 3.0 flash drive with 64GB capacity. USB-C model – batch 730.,384
HDMI Cable Premium,Accessories,High-speed HDMI 2.0 cable. Premium model – batch 731.,52
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 732.,238
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 733.,378
Multifunction Printer USB-C,Electronics,Printer with scanner and copier. USB-C model – batch 734.,210
External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 735.,108
USB Flash Drive 64GB Advanced,Electronics,USB 3.0 flash drive with 64GB capacity. Advanced model – batch 736.,72
External Hard Drive 1TB Advanced,Electronics,Portable 1TB external storage. Advanced model – batch 737.,390
Full HD Webcam Compact,Electronics,1080p webcam for video conferencing. Compact model – batch 738.,239
USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 739.,361
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 740.,374
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 741.,408
Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 742.,215
Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 743.,248
Laptop Stand Wireless,Accessories,Adjustable ergonomic laptop stand. Wireless model – batch 744.,357
Multifunction Printer Plus,Electronics,Printer with scanner and copier. Plus model – batch 745.,55
External Hard Drive 1TB Advanced,Electronics,Portable 1TB external storage. Advanced model – batch 746.,70
Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 747.,219
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 748.,407
USB Flash Drive 64GB USB-C,Electronics,USB 3.0 flash drive with 64GB capacity. USB-C model – batch 749.,487
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 750.,468
External Hard Drive 1TB Advanced,Electronics,Portable 1TB external storage. Advanced model – batch 751.,288
Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 752.,126
24 Inch Monitor Advanced,Electronics,Full HD monitor for work and gaming. Advanced model – batch 753.,312
External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 754.,16
Django Book Advanced,Book,Web development with Django. Advanced model – batch 755.,60
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 756.,59
Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 757.,61
Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 758.,271
ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 759.,491
Clean Code Book Standard,Book,Best practices for clean and maintainable code. Standard model – batch 760.,344
Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 761.,420
Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 762.,29
Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 763.,383
University Notebook Advanced,Stationery,Notebook with 200 pages. Advanced model – batch 764.,200
Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 765.,82
HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 766.,350
24 Inch Monitor Wireless,Electronics,Full HD monitor for work and gaming. Wireless model – batch 767.,58
Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 768.,363
Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 769.,295
Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 770.,41
USB Flash Drive 64GB USB-C,Electronics,USB 3.0 flash drive with 64GB capacity. USB-C model – batch 771.,229
Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 772.,193
Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 773.,342
Gaming Mousepad Advanced,Accessories,Large mousepad with non-slip base. Advanced model – batch 774.,163
Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 775.,462
Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 776.,406
Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 777.,151
Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 778.,379
Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 779.,36
Laptop Stand Wireless,Accessories,Adjustable ergonomic laptop stand. Wireless model – batch 780.,161
USB Mouse USB-C,Electronics,Wired USB mouse with high precision. USB-C model – batch 781.,36
Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 782.,478
Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 783.,29
Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 784.,381
Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 785.,143
Full HD Webcam Premium,Electronics,1080p webcam for video conferencing. Premium model – batch 786.,482
USB Flash Drive 64GB USB-C,Electronics,USB 3.0 flash drive with 64GB capacity. USB-C model – batch 787.,109
Full HD Webcam Standard,Electronics,1080p webcam for video conferencing. Standard model – batch 788.,111
Django Book Premium,Book,Web development with Django. Premium model – batch 789.,207
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 790.,328
Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 791.,38
ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 792.,302
External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 793.,413
Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 794.,38
Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 795.,326
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 796.,248
USB Mouse Compact,Electronics,Wired USB mouse with high precision. Compact model – batch 797.,195
Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 798.,40
Mechanical Keyboard Standard,Electronics,Mechanical keyboard with blue switches. Standard model – batch 799.,461
Laptop i5 Wireless,Electronics,Laptop with Intel i5 processor and SSD. Wireless model – batch 800.,432
Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 801.,218
External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 802.,447
External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 803.,201
Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 804.,160
Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 805.,42
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 806.,439
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 807.,110
Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 808.,452
ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 809.,187
Django Book Plus,Book,Web development with Django. Plus model – batch 810.,82
University Notebook Advanced,Stationery,Notebook with 200 pages. Advanced model – batch 811.,84
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 812.,190
Algorithms Book Compact,Book,Introduction to algorithms and programming logic. Compact model – batch 813.,97
Django Book Plus,Book,Web development with Django. Plus model – batch 814.,137
External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 815.,173
Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 816.,260
Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 817.,153
USB Mouse USB-C,Electronics,Wired USB mouse with high precision. USB-C model – batch 818.,470
USB Mouse Compact,Electronics,Wired USB mouse with high precision. Compact model – batch 819.,134
Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 820.,356
External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 821.,406
USB Mouse Compact,Electronics,Wired USB mouse with high precision. Compact model – batch 822.,167
Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 823.,208
Bluetooth Headphones Advanced,Electronics,Wireless headphones with noise cancellation. Advanced model – batch 824.,214
External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 825.,137
Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 826.,201
USB Flash Drive 64GB Advanced,Electronics,USB 3.0 flash drive with 64GB capacity. Advanced model – batch 827.,93
Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 828.,114
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 829.,214
Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 830.,12
Full HD Webcam Pro,Electronics,1080p webcam for video conferencing. Pro model – batch 831.,429
Algorithms Book Wireless,Book,Introduction to algorithms and programming logic. Wireless model – batch 832.,177
USB Mouse Compact,Electronics,Wired USB mouse with high precision. Compact model – batch 833.,212
USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 834.,145
Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 835.,16
Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 836.,156
USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 837.,326
Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 838.,471
Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 839.,365
External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 840.,292
USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 841.,305
Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 842.,194
HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 843.,147
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 844.,172
Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 845.,141
Django Book USB-C,Book,Web development with Django. USB-C model – batch 846.,251
Django Book USB-C,Book,Web development with Django. USB-C model – batch 847.,487
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 848.,27
ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 849.,441
ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 850.,409
Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 851.,178
USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 852.,150
Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 853.,294
University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 854.,447
Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 855.,127
Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 856.,153
Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 857.,497
Django Book Standard,Book,Web development with Django. Standard model – batch 858.,170
Bluetooth Headphones Standard,Electronics,Wireless headphones with noise cancellation. Standard model – batch 859.,296
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 860.,338
ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 861.,330
Full HD Webcam Premium,Electronics,1080p webcam for video conferencing. Premium model – batch 862.,8
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 863.,275
Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 864.,260
Multifunction Printer Plus,Electronics,Printer with scanner and copier. Plus model – batch 865.,446
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 866.,116
Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 867.,300
Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 868.,304
Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 869.,40
Multifunction Printer Compact,Electronics,Printer with scanner and copier. Compact model – batch 870.,462
Algorithms Book Compact,Book,Introduction to algorithms and programming logic. Compact model – batch 871.,347
Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 872.,14
Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 873.,55
Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 874.,395
ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 875.,165
Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 876.,315
Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 877.,75
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 878.,169
Gaming Mousepad Pro,Accessories,Large mousepad with non-slip base. Pro model – batch 879.,121
External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 880.,246
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 881.,329
Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 882.,92
Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 883.,99
Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 884.,81
Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 885.,395
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 886.,104
Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 887.,466
Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 888.,466
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 889.,490
Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 890.,337
Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 891.,331
Clean Code Book Compact,Book,Best practices for clean and maintainable code. Compact model – batch 892.,388
Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 893.,429
Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 894.,452
External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 895.,464
Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 896.,177
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 897.,356
Python Book Standard,Book,Learn Python from beginner to advanced. Standard model – batch 898.,371
USB Flash Drive 64GB Compact,Electronics,USB 3.0 flash drive with 64GB capacity. Compact model – batch 899.,426
Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 900.,155
Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 901.,126
Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 902.,119
USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 903.,381
Bluetooth Headphones Plus,Electronics,Wireless headphones with noise cancellation. Plus model – batch 904.,59
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 905.,282
USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 906.,306
Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 907.,330
University Notebook USB-C,Stationery,Notebook with 200 pages. USB-C model – batch 908.,151
Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 909.,138
Full HD Webcam USB-C,Electronics,1080p webcam for video conferencing. USB-C model – batch 910.,420
ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 911.,350
Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 912.,267
Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 913.,42
Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 914.,297
Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 915.,416
Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 916.,21
Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 917.,426
ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 918.,199
USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 919.,138
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 920.,432
USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 921.,445
Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 922.,235
Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 923.,449
Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 924.,324
Django Book Premium,Book,Web development with Django. Premium model – batch 925.,247
HDMI Cable Premium,Accessories,High-speed HDMI 2.0 cable. Premium model – batch 926.,226
Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 927.,187
24 Inch Monitor Plus,Electronics,Full HD monitor for work and gaming. Plus model – batch 928.,298
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 929.,224
HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 930.,157
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 931.,387
Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 932.,394
Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 933.,59
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 934.,343
Full HD Webcam Pro,Electronics,1080p webcam for video conferencing. Pro model – batch 935.,492
Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 936.,113
Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 937.,302
Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 938.,316
University Notebook Premium,Stationery,Notebook with 200 pages. Premium model – batch 939.,334
Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 940.,69
Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 941.,173
External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 942.,328
HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 943.,156
Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 944.,9
Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 945.,220
University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 946.,224
Django Book Pro,Book,Web development with Django. Pro model – batch 947.,272
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 948.,327
Django Book Standard,Book,Web development with Django. Standard model – batch 949.,26
Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 950.,19
HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 951.,186
Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 952.,281
Django Book Pro,Book,Web development with Django. Pro model – batch 953.,107
Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 954.,500
Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 955.,71
Bluetooth Headphones Premium,Electronics,Wireless headphones with noise cancellation. Premium model – batch 956.,25
USB Flash Drive 64GB Compact,Electronics,USB 3.0 flash drive with 64GB capacity. Compact model – batch 957.,79
Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 958.,144
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 959.,153
Mechanical Keyboard Standard,Electronics,Mechanical keyboard with blue switches. Standard model – batch 960.,310
